"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"World",2002,549193912,287818746,100,100,12.8861045630799,5.57588362363352,7.35121043331549,707547,321864,385683
"South Asia",2003,140695506,74475177,100,100,18.2283684418261,7.84308774252037,10.4673772575709,256640,117282,139358
"Sub-Saharan Africa",2003,73268316,39647908,100,100,35.2880696429793,14.129848525835,21.4614684149901,258729,112847,145882
"Europe and Central Asia",2003,63687445,32025283,100,100,4.87001049376934,2.12705675142754,2.74880059721044,31065,13636,17429
"Middle East and North Africa",2003,35671265,18885527,100,100,7.12865100180171,3.35513670001504,3.78621757934133,25430,12692,12738
"Latin America and Caribbean",2003,51333578,26432263,100,100,6.39835365177988,2.91603694901012,3.492500964627,32861,15438,17423
"East Asia and Pacific",2003,172290015,89555969,100,100,5.28821265201818,2.46168199538525,2.83350584696032,91099,44146,46953
"North America",2003,22246594,11090931,100,100,4.28438093683015,1.89479778246956,2.39411952673074,9553,4208,5345
"Eastern and Southern Africa",2003,39277942,21394792,100,100,38.596937392237,14.7042758670158,24.249228876179,151189,63389,87800
"Eastern Europe and Central Asia",2003,34606973,18007054,100,100,6.76574365143878,2.82987964720945,3.94703363437807,23333,10205,13128
"Western Europe",2003,29080472,14018229,99.99,99.99,2.6482000179493,1.22345840319856,1.42648686208917,7732,3431,4301
"West and Central Africa",2003,33990374,18253116,100,100,31.4941085794884,13.4561290360497,18.2840115623179,107540,49458,58082
"World",2003,559192719,292113058,100,100,12.6113418865157,5.46659501823787,7.1840189907033,705372,320251,385121
"South Asia",2004,143422859,75629310,100,100,17.7510713301131,7.68200623484258,10.1470145241097,254925,116643,138282
"Sub-Saharan Africa",2004,75343654,40670235,100,100,34.1502202417762,13.6819259896887,20.7522246539237,257479,112057,145422
"Europe and Central Asia",2004,63762246,31870349,100,100,4.65033518975733,2.04705005292066,2.60862512303284,29718,13058,16660
"Middle East and North Africa",2004,36370281,19066632,100,100,6.20485961451411,2.87105265611126,3.34340605323233,22558,10965,11593
"Latin America and Caribbean",2004,51723755,26553565,100,100,6.23817171511354,2.83495430782091,3.41289280244507,32286,15077,17209
"East Asia and Pacific",2004,175070320,91264285,100,100,5.7630124049397,2.6777437052068,3.09355244030666,100889,48950,51939
"North America",2004,22500374,11255785,100,100,4.27366339017188,1.91407010165252,2.36411837682111,9635,4314,5321
"Eastern and Southern Africa",2004,40492741,21996914,100,100,36.891868830125,13.9839658169524,23.2327895480449,148915,61958,86957
"Eastern Europe and Central Asia",2004,34753126,17873117,100,100,6.40630396086117,2.71882352829429,3.69753337329878,22235,9729,12506
"Western Europe",2004,29009120,13997232,99.99,99.99,2.56960553174168,1.18854165867076,1.38270727827287,7483,3329,4154
"West and Central Africa",2004,34850913,18673321,100,100,30.9959181382706,13.3260093743271,17.9085583808068,108564,50100,58464
"World",2004,568193489,296310161,100,100,12.4458731223711,5.40298282119106,7.08114963099044,707491,321066,386425
"South Asia",2005,145919631,76643111,100,100,17.4230977095554,7.63749120245121,9.86091919067107,254824,117523,137301
"Sub-Saharan Africa",2005,77379972,41668176,100,100,32.9632548731179,13.2561476339745,19.9718571257267,255307,111213,144094
"Europe and Central Asia",2005,63621815,31618012,100,100,4.54541226196248,1.98714331859633,2.56336271245343,29006,12577,16429
"Middle East and North Africa",2005,37004858,19202418,100,100,6.08623520665608,2.79910941257159,3.29635264580248,22534,10771,11763
"Latin America and Caribbean",2005,52091621,26675792,100,100,6.06040816519837,2.76703077682063,3.30251555054702,31597,14783,16814
"East Asia and Pacific",2005,177730376,92887801,100,100,4.91576118546933,2.23310418117088,2.68866106456359,87216,41531,45685
"North America",2005,22729584,11447022,100,100,4.1869731173122,1.82893309312385,2.36236062371101,9527,4192,5335
"Eastern and Southern Africa",2005,41636516,22536029,100,100,34.9846200738411,13.2872703260315,21.9895305850355,145233,60291,84942
"Eastern Europe and Central Asia",2005,34719966,17631874,100,100,6.29882588178088,2.67169491317105,3.63684751561724,21886,9432,12454
"Western Europe",2005,28901849,13986138,99.99,99.99,2.45395024742201,1.12341981569626,1.33202685709201,7120,3145,3975
"West and Central Africa",2005,35743456,19132147,100,100,30.6329504746606,13.2194865200439,17.6467448604217,110074,50921,59153
"World",2005,576477857,300142332,100,100,11.9639169459377,5.19367478438683,6.80558817323918,690012,312592,377420
"South Asia",2006,148186538,77512979,100,100,16.2650342350347,7.14428413754886,9.18638020788659,241593,111151,130442
