iso3,g.whoregion,year,sex,age_group,mort.nh.nr.num,mort.nh.nr.lo.num,mort.nh.nr.hi.num,mort.nh.re.num,mort.nh.re.lo.num,mort.nh.re.hi.num
GMB,AFR,2017,F,5_9,0.614045202743941,0,13.0642630752976,5.39984874085453,0,13.0642630752976
GMB,AFR,2017,M,0_4,2.43557698592019,0,26.0187049741265,21.9419708432334,8.9326183561701,34.9513233302966
GMB,AFR,2017,M,10_14,0.185923210314504,0,7.1887197096937,1.37338223226293,0,7.1887197096937
GMB,AFR,2017,M,15_19,2.34980996837234,0,25.5564847265496,23.7729345410916,10.9946921778168,36.5511769043664
GMB,AFR,2017,M,20_24,3.3291788875023,0,30.4195868811438,39.8391760976331,24.6293826570611,55.048969538205
GMB,AFR,2017,M,5_9,0.68531032359232,0,13.8015665181292,5.32482812983721,0,13.8015665181292
GMB,AFR,2018,F,0_4,2.07704108961941,0,24.7511898748284,19.5475813688543,7.17198643144005,31.9231763062685
GMB,AFR,2018,F,10_14,0.17023665934539,0,7.08598260477355,1.49544301009137,0,7.08598260477355
GMB,AFR,2018,F,15_19,0.802436116508674,0,15.3843365290407,9.395996127651,1.70382786313066,17.0881643921713
GMB,AFR,2018,F,20_24,1.24578219743987,0,19.168785512781,15.6073299726171,6.02293721622662,25.1917227290076
GMB,AFR,2018,F,5_9,0.655525129280187,0,13.9049108937579,5.76461883932559,0,13.9049108937579
GMB,AFR,2018,M,0_4,2.60010486432049,0,27.6929339336626,23.4241928922661,9.57772592543478,37.2706598590973
GMB,AFR,2018,M,10_14,0.198482678364684,0,7.65129318258273,1.46615682580115,0,7.65129318258273
GMB,AFR,2018,M,15_19,2.50854412088532,0,27.2009711402923,25.3788416858409,11.7783561156947,38.979327255987
GMB,AFR,2018,M,20_24,3.5540712815191,0,32.3769999554755,42.5303885529383,26.3418885752005,58.718888530676
GMB,AFR,2018,M,5_9,0.731604345188959,0,14.6896576961719,5.68453044271238,0,14.6896576961719
