"ISO3","Year","Sex","TB","TBlo","TBup"
"TCD",2012,"Female",72.4050875602894,0,365.794169769168
"TCD",2013,"Female",72.7101778828583,0,364.194782852434
"TCD",2014,"Female",72.6379819735614,0,360.00719249599
"TCD",2015,"Female",79.0447690854373,0,363.75366994402
"TCD",2016,"Female",88.8614750741629,0,411.602676132832
"TCD",2017,"Female",88.3821257654067,0,407.528769635688
"TCD",2018,"Female",85.8742819304003,0,393.652882072258
"TCD",2019,"Female",85.2706666282235,0,390.442120399518
"TCD",2020,"Female",85.2706666282235,0,390.442120399518
"TCD",2021,"Female",85.2706666282235,0,390.442120399518
"TGO",2000,"Female",6.15666789670948,0,40.2118881849226
"TGO",2001,"Female",6.72281234703525,0,41.7200531860778
"TGO",2002,"Female",7.58014198972845,0,45.7125636662858
"TGO",2003,"Female",8.66455685552093,0,51.5425335228432
"TGO",2004,"Female",8.9932629023608,0,53.0750370929896
"TGO",2005,"Female",9.16172313283675,0,54.616207709624
"TGO",2006,"Female",9.0518778844945,0,54.865227565163
"TGO",2007,"Female",12.2660723405761,0,76.0071515817656
"TGO",2008,"Female",11.5562802785242,0,57.1732188148114
"TGO",2009,"Female",13.3009932120146,0,65.1734270008754
"TGO",2010,"Female",14.7099570709076,0,72.4502348709162
"TGO",2011,"Female",13.5624361070114,0,65.9581271711032
"TGO",2012,"Female",13.5432244658198,0,65.8018329256818
"TGO",2013,"Female",14.1924278522423,0,69.1519030731352
"TGO",2014,"Female",12.3746935472554,0,60.1109994892464
"TGO",2015,"Female",9.42162498547735,0,40.1478152013284
"TGO",2016,"Female",6.04594735074964,0,24.1685054687134
"TGO",2017,"Female",5.39780010748151,0,22.1363200858514
"TGO",2018,"Female",5.25616619845486,0,21.463571371878
"TGO",2019,"Female",4.34132325089859,0,19.9356602258921
"TGO",2020,"Female",4.34132325089859,0,19.9356602258921
"TGO",2021,"Female",4.34132325089859,0,19.9356602258921
"THA",2000,"Female",20.7030177526724,0,443.18936002815
"THA",2001,"Female",20.9459461945554,0,423.743124754286
"THA",2002,"Female",21.1710795061172,0,403.462864384742
"THA",2003,"Female",20.3292948576805,0,338.20919360079
"THA",2004,"Female",19.354674091524,0,381.657533634956
"THA",2005,"Female",17.311101425181,0,329.326225389182
"THA",2006,"Female",16.5770549657466,0,326.388989812276
"THA",2007,"Female",15.5652773212431,0,310.791444447494
"THA",2008,"Female",15.481426274176,0,309.883919783024
"THA",2009,"Female",14.9862999714824,0,313.356933505622
"THA",2010,"Female",14.0707576677891,0,271.117429953946
"THA",2011,"Female",14.4280165658556,0,253.60249648493
"THA",2012,"Female",15.8874595813368,0,268.761620960782
"THA",2013,"Female",15.5528169816728,0,235.256146321604
"THA",2014,"Female",16.1111047366393,0,220.090049961828
"THA",2015,"Female",15.9644364985568,0,199.76106459602
"THA",2016,"Female",15.5528380901811,0,179.131658088935
"THA",2017,"Female",15.718543254797,0,189.365356328016
"THA",2018,"Female",15.7681988570015,0,189.963570211626
"THA",2019,"Female",15.8129692293345,0,190.502930467366
"THA",2020,"Female",15.8129692293345,0,190.502930467366
"THA",2021,"Female",15.8129692293345,0,190.502930467366
"TJK",2000,"Female",5.08973259215364,2.55885360642395,10.1375032532659
"TJK",2001,"Female",5.25955059860922,2.68371226417142,10.357290302618
"TJK",2002,"Female",5.34850232992421,2.78808688012247,10.3554975143673
"TJK",2003,"Female",5.22196362194319,2.79328630982264,9.89701374733322
"TJK",2004,"Female",5.04163528678243,2.5712175076193,9.93207098088061
"TJK",2005,"Female",5.182396072068,2.70085794836996,10.0358124071281
"TJK",2006,"Female",5.04105512087643,2.46697752222978,10.2427603563782
"TJK",2007,"Female",4.95787257824942,2.42001089344998,10.092521343523
"TJK",2008,"Female",4.79197093423931,2.29689195195524,9.88122241397188
"TJK",2009,"Female",4.60883466896345,2.01918345385643,10.0733709798028
"TJK",2010,"Female",4.54721152415615,2.05861954702355,9.73938169347589
"TJK",2011,"Female",4.5189973599917,1.96928372525195,9.90863958421512
"TJK",2012,"Female",4.46216006473633,1.99015543134602,9.64709393253911
"TJK",2013,"Female",4.40282496838807,1.91665145266907,9.65993303135103
"TJK",2014,"Female",4.38868068505533,1.84506515391866,9.82518693593764
"TJK",2015,"Female",4.29882245873802,1.8095641733886,9.6171860854173
"TJK",2016,"Female",4.29086221535267,1.76506897645867,9.72281082435835
"TJK",2017,"Female",4.24042695528846,1.67121210531658,9.82785802755986
"TJK",2018,"Female",4.18407720023562,1.57129444269903,9.93038687272759
"TJK",2019,"Female",4.11971305382088,1.46446308146836,10.025606443968
"TJK",2020,"Female",4.11971305382088,1.46446308146836,10.025606443968
"TJK",2021,"Female",4.11971305382088,1.46446308146836,10.025606443968
"TKM",2000,"Female",23.7738960520047,15.6967664407479,31.8510256632617
"TKM",2001,"Female",22.9891203022093,15.382188747051,30.5960518573675
"TKM",2002,"Female",22.9907205126899,15.5577496189534,30.4236914064263
"TKM",2003,"Female",22.4788853595499,15.391763936084,29.5660067830157
"TKM",2004,"Female",22.0809752508366,14.9798303464691,29.1821201552041
"TKM",2005,"Female",22.4559604848095,15.4727769340796,29.4391440355392
"TKM",2006,"Female",21.5626292484355,14.6179888910896,28.5072696057814
"TKM",2007,"Female",21.3267560278848,14.8723323067013,27.7811797490683
"TKM",2008,"Female",20.8236227867648,14.4524319970856,27.194813576444
"TKM",2009,"Female",19.0123513642669,12.2414612577279,25.7832414708059
"TKM",2010,"Female",18.4737174585392,11.2250078637696,25.7224270533088
"TKM",2011,"Female",18.760561463997,10.6612878582255,26.8598350697686
"TKM",2012,"Female",18.2667707886771,10.8330360285134,25.7005055488408
"TKM",2013,"Female",18.3581319951321,10.0873938696666,26.6288701205977
"TKM",2014,"Female",18.6278980279296,8.54702260789455,28.7087734479646
"TKM",2015,"Female",18.6716820618117,6.14013281046911,31.2032313131543
"TKM",2016,"Female",17.7802635000354,1.66024512207816,35.3095310715378
"TKM",2017,"Female",17.4494142125525,1.33144724198339,35.5462167031032
"TKM",2018,"Female",17.0828266715471,0.985499493211179,35.7533686776346
"TKM",2019,"Female",16.6898122888968,0.627652364802138,35.9363352864845
"TKM",2020,"Female",16.6898122888968,0.627652364802138,35.9363352864845
"TKM",2021,"Female",16.6898122888968,0.627652364802138,35.9363352864845
"TLS",2000,"Female",15.7551027650538,0,71.0042380458599
"TLS",2001,"Female",16.6818993350021,0,76.7873159849114
"TLS",2002,"Female",25.4350200374275,0,139.027780955021
"TLS",2003,"Female",21.9081692692567,0,104.426947651005
"TLS",2004,"Female",17.3198767857139,0,76.7141287261334
"TLS",2005,"Female",18.1430724285544,0,80.8082861981052
"TLS",2006,"Female",21.5288228184917,0,99.6428375123124
"TLS",2007,"Female",26.5643970523175,0,144.782968221307
"TLS",2008,"Female",27.3678524056195,0,149.252483504485
"TLS",2009,"Female",11.5954674518354,0,63.1321138981328
"TLS",2010,"Female",14.8235416721956,0,69.081220909917
"TLS",2011,"Female",18.1151794108766,0,79.1428859647506
"TLS",2012,"Female",25.6889371128156,0,121.090940942327
"TLS",2013,"Female",28.295794452873,0,138.998708920657
"TLS",2014,"Female",30.78326412562,0,167.796094641253
"TLS",2015,"Female",35.6049789453688,0,195.594957657428
"TLS",2016,"Female",33.435379000224,0,183.08465310631
"TLS",2017,"Female",36.9542008489186,0,202.999256692302
"TLS",2018,"Female",34.7569762722213,0,190.008355470329
"TLS",2019,"Female",33.3147787662917,0,181.536021975738
"TLS",2020,"Female",33.3147787662917,0,181.536021975738
"TLS",2021,"Female",33.3147787662917,0,181.536021975738
"TON",2000,"Female",0,0,0
"TON",2001,"Female",0,0,0
"TON",2002,"Female",0,0,0
"TON",2003,"Female",0,0,0
"TON",2004,"Female",0,0,0
"TON",2005,"Female",0,0,0
"TON",2006,"Female",0,0,0
"TON",2007,"Female",0,0,0
"TON",2008,"Female",0,0,0
"TON",2009,"Female",0,0,0
"TON",2010,"Female",0,0,0
"TON",2011,"Female",0,0,0
"TON",2012,"Female",0,0,0
"TON",2013,"Female",0,0,0
"TON",2014,"Female",0,0,0
"TON",2015,"Female",0,0,0
"TON",2016,"Female",0,0,0
"TON",2017,"Female",0,0,0
"TON",2018,"Female",0,0,0
"TON",2019,"Female",0,0,0
"TON",2020,"Female",0,0,0
"TON",2021,"Female",0,0,0
"TTO",2000,"Female",0,0,0
"TTO",2001,"Female",0,0,0
"TTO",2002,"Female",0,0,0
"TTO",2003,"Female",0,0,0
"TTO",2004,"Female",0,0,0
"TTO",2005,"Female",0,0,0
"TTO",2006,"Female",0,0,0
"TTO",2007,"Female",0,0,0
"TTO",2008,"Female",0,0,0
"TTO",2009,"Female",0,0,0
"TTO",2010,"Female",0,0,0
"TTO",2011,"Female",0,0,0
"TTO",2012,"Female",0,0,0
"TTO",2013,"Female",0,0,0
"TTO",2014,"Female",0,0,0
"TTO",2015,"Female",0,0,0
"TTO",2016,"Female",0,0,0
"TTO",2017,"Female",0,0,0
"TTO",2018,"Female",0,0,0
"TTO",2019,"Female",0,0,0
"TTO",2020,"Female",0,0,0
"TTO",2021,"Female",0,0,0
"TUN",2000,"Female",3.72049650885206,0,15.9532630474977
"TUN",2001,"Female",3.68821117033441,0,16.3900557496249
"TUN",2002,"Female",3.69594311975507,0,16.669496999569
"TUN",2003,"Female",3.71428572053793,0,17.2986410437601
"TUN",2004,"Female",3.74487124415848,0,17.6230030691141
"TUN",2005,"Female",3.74031549734399,0,18.2991182117001
"TUN",2006,"Female",3.74134449801418,0,18.6776918257763
"TUN",2007,"Female",3.74225327001018,0,18.848365984828
"TUN",2008,"Female",3.73911029892992,0,19.1439002716369
"TUN",2009,"Female",3.71351129659581,0,18.9004926043299
"TUN",2010,"Female",3.67408458719254,0,18.9272830941115
"TUN",2011,"Female",3.6290411076852,0,19.2176992643617
"TUN",2012,"Female",3.61556351453517,0,19.1310502121718
"TUN",2013,"Female",3.5519364879531,0,19.515307686776
"TUN",2014,"Female",3.46387945739589,0,19.6790913844197
"TUN",2015,"Female",3.35464787125668,0,19.2472987579725
"TUN",2016,"Female",3.30387112378823,0,19.1828756179425
"TUN",2017,"Female",3.23351741239165,0,19.4005639528576
"TUN",2018,"Female",3.1613329142709,0,19.6218354400767
"TUN",2019,"Female",3.08606150554203,0,19.8389880374111
"TUN",2020,"Female",3.08606150554203,0,19.8389880374111
"TUN",2021,"Female",3.08606150554203,0,19.8389880374111
"TUR",2000,"Female",4.17664360251049,0,225.940679465548
"TUR",2001,"Female",3.67956883180824,0,198.439604696585
"TUR",2002,"Female",3.14190347297359,0,170.575278079867
"TUR",2003,"Female",2.66186245361709,0,136.671369641689
"TUR",2004,"Female",1.56759467017245,0,87.57509886067
"TUR",2005,"Female",2.40083296334486,0,116.348678382827
"TUR",2006,"Female",1.73907400260474,0,78.7414961837608
"TUR",2007,"Female",1.83800974912896,0,82.2999066482408
"TUR",2008,"Female",2.02398931500057,0,88.6963491686906
"TUR",2009,"Female",2.57436487212034,0,52.5149160337428
"TUR",2010,"Female",2.16261821034175,0,38.2308827920266
"TUR",2011,"Female",2.09758738035849,0,32.2488777350152
"TUR",2012,"Female",1.80473409010471,0,27.2331547336546
"TUR",2013,"Female",1.48850594603591,0,13.5101740572421
"TUR",2014,"Female",1.37550866389237,0,9.0142285052601
"TUR",2015,"Female",1.26205015204042,0,6.85215873174228
"TUR",2016,"Female",1.25270430898164,0,5.05812298464908
"TUR",2017,"Female",1.02927770772959,0,5.139594158948
"TUR",2018,"Female",0.828568147957967,0,5.2168183351169
"TUR",2019,"Female",0.620434291773959,0,5.28515186598866
"TUR",2020,"Female",0.620434291773959,0,5.28515186598866
"TUR",2021,"Female",0.620434291773959,0,5.28515186598866
"TUV",2000,"Female",0,0,0.14712797562671
"TUV",2001,"Female",0,0,0.147127975992534
"TUV",2002,"Female",0,0,0.119541486817311
"TUV",2003,"Female",0,0,0.28506038505777
"TUV",2004,"Female",0,0,0.14664990569468
"TUV",2005,"Female",0,0,0.110345990545845
"TUV",2006,"Female",0,0,0.0827594969409988
"TUV",2007,"Female",0,0,0.165518971091957
"TUV",2008,"Female",0,0,0.156323475524784
"TUV",2009,"Female",0,0,0.165518971965714
"TUV",2010,"Female",0,0,0.128736986342161
"TUV",2011,"Female",0,0,0.110345991806456
"TUV",2012,"Female",0,0,0.174714469312264
"TUV",2013,"Female",0,0,0.169356047149151
"TUV",2014,"Female",0,0,0.142339090993429
"TUV",2015,"Female",0,0,0.187439699912697
"TUV",2016,"Female",0,0,0.187439700580648
"TUV",2017,"Female",0,0,0.211496454251616
"TUV",2018,"Female",0,0,0.251029050771998
"TUV",2019,"Female",0,0,0.27837633663323
"TUV",2020,"Female",0,0,0.27837633663323
"TUV",2021,"Female",0,0,0.27837633663323
"TZA",2000,"Female",253.140356482672,0,3808.10727535834
"TZA",2001,"Female",278.642047049482,0,3942.60340913578
"TZA",2002,"Female",314.912421511894,0,4293.4156642225
"TZA",2003,"Female",330.858105114847,0,4399.38271992864
"TZA",2004,"Female",353.833140593722,0,4646.35758981494
"TZA",2005,"Female",364.302203848426,0,4790.5371789267
"TZA",2006,"Female",364.522887599778,0,4854.81051835424
"TZA",2007,"Female",377.54561871533,0,4080.71667102348
"TZA",2008,"Female",370.891833741422,0,4048.51423197764
"TZA",2009,"Female",358.475396704438,0,3982.97915316138
"TZA",2010,"Female",401.856066482457,0,4382.36807393918
"TZA",2011,"Female",388.155029533936,0,4364.51070156956
"TZA",2012,"Female",361.845921285288,0,4182.78238636496
"TZA",2013,"Female",318.040654798969,0,3890.37658863648
"TZA",2014,"Female",339.633009776818,0,4164.26384858326
"TZA",2015,"Female",320.068904007633,0,3919.33078833376
"TZA",2016,"Female",299.019312043041,0,3663.9956772776
"TZA",2017,"Female",282.935623220477,0,3444.62882026562
"TZA",2018,"Female",257.321297087537,0,3098.12962995234
"TZA",2019,"Female",231.807361430491,0,2753.3122299031
"TZA",2020,"Female",231.807361430491,0,2753.3122299031
"TZA",2021,"Female",231.807361430491,0,2753.3122299031
"UGA",2000,"Female",109.149665834363,0,786.104727600258
"UGA",2001,"Female",101.512326953666,0,621.641144515722
"UGA",2002,"Female",95.2854216190325,0,536.415561151676
"UGA",2003,"Female",90.8661384614229,0,490.114647485272
"UGA",2004,"Female",89.2466602983739,0,475.135820664342
"UGA",2005,"Female",96.6707218022795,0,538.398597034572
"UGA",2006,"Female",94.785823527701,0,542.92101532869
"UGA",2007,"Female",93.1667746525063,0,546.095768102606
"UGA",2008,"Female",81.818251423444,0,373.241223571592
"UGA",2009,"Female",92.6104687712766,0,415.053799121938
"UGA",2010,"Female",96.9993636190114,0,422.730186236274
"UGA",2011,"Female",93.1958543715967,0.931347770624669,339.80822680059
"UGA",2012,"Female",109.177431048459,0,420.237638259424
"UGA",2013,"Female",118.400383076707,0,457.994301221446
"UGA",2014,"Female",138.997944532375,0,568.581863350142
"UGA",2015,"Female",165.350062920837,0,729.609392208102
"UGA",2016,"Female",167.283514773401,0,748.791791267044
"UGA",2017,"Female",180.639590196498,0,807.217856632292
"UGA",2018,"Female",150.128021820526,0,660.561622199846
"UGA",2019,"Female",123.091386942459,0,538.575478454012
"UGA",2020,"Female",123.091386942459,0,538.575478454012
"UGA",2021,"Female",123.091386942459,0,538.575478454012
"UKR",2000,"Female",66.9796230428501,43.9392258966449,90.0200201890553
"UKR",2001,"Female",68.3453373065554,45.1545474798268,91.5361271332841
"UKR",2002,"Female",70.698738452365,47.0771000005312,94.3203769041988
"UKR",2003,"Female",72.5551433287493,48.0319101248717,97.0783765326268
"UKR",2004,"Female",73.9736316019867,47.9905347761871,99.9567284277865
"UKR",2005,"Female",76.5338922398873,49.4171528893546,103.65063159042
"UKR",2006,"Female",71.3360416789934,47.5159197347375,95.1561636232494
"UKR",2007,"Female",71.9231886771539,45.388635008409,98.5948604386241
"UKR",2008,"Female",68.7027369974524,41.3782386863418,100.114339407383
"UKR",2009,"Female",56.3732548937343,35.2785850578223,78.1692745527544
"UKR",2010,"Female",51.2971047743403,31.5994992613386,72.6377325110969
"UKR",2011,"Female",47.2051955062093,29.0503974301824,66.9288483018761
"UKR",2012,"Female",46.0492242510619,31.0192039278914,61.0792445742325
"UKR",2013,"Female",44.2098214289684,28.6907256057012,59.7289172522354
"UKR",2014,"Female",41.0417217371922,25.8964410519068,56.2728410390809
"UKR",2015,"Female",41.9812816910014,25.2420314885149,61.3028388479806
"UKR",2016,"Female",39.7519293767979,22.3377605808193,62.7389378241296
"UKR",2017,"Female",38.1183469243858,21.0558555637114,61.2525607639957
"UKR",2018,"Female",36.48649754463,19.7788845755914,59.7570384498458
"UKR",2019,"Female",34.861516785554,18.5100037192996,58.2596652502208
"UKR",2020,"Female",34.861516785554,18.5100037192996,58.2596652502208
"UKR",2021,"Female",34.861516785554,18.5100037192996,58.2596652502208
"URY",2000,"Female",0,0,0
"URY",2001,"Female",0,0,0
"URY",2002,"Female",0,0,0
"URY",2003,"Female",0,0,0
"URY",2004,"Female",0,0,0
"URY",2005,"Female",0,0,0
"URY",2006,"Female",0,0,0
"URY",2007,"Female",0,0,0
"URY",2008,"Female",0,0,0
"URY",2009,"Female",0,0,0
"URY",2010,"Female",0,0,0
"URY",2011,"Female",0,0,0
"URY",2012,"Female",0,0,0
"URY",2013,"Female",0,0,0
"URY",2014,"Female",0,0,0
"URY",2015,"Female",0,0,0
"URY",2016,"Female",0,0,0
"URY",2017,"Female",0,0,0
"URY",2018,"Female",0,0,0
"URY",2019,"Female",0,0,0
"URY",2020,"Female",0,0,0
"URY",2021,"Female",0,0,0
"USA",2000,"Female",3.44287648930554,2.87345742225698,4.01229555635409
"USA",2001,"Female",3.3518915983299,2.69662275892551,4.00716043773429
"USA",2002,"Female",3.41048691316777,2.86762312828751,3.95335069804803
"USA",2003,"Female",3.02422200977487,2.54402749112151,3.50441652842822
"USA",2004,"Female",2.82580073023294,2.37248589718066,3.27911556328522
"USA",2005,"Female",2.74938804922476,2.30757576606053,3.19120033238898
"USA",2006,"Female",2.65370255524179,2.22830918220559,3.07909592827797
"USA",2007,"Female",2.37504461963713,1.98576767357235,2.76432156570191
"USA",2008,"Female",2.46009151158476,2.00358252643522,2.91660049673429
"USA",2009,"Female",2.21055722518574,1.76018155871379,2.66093289165769
"USA",2010,"Female",2.33200616676361,1.87307535748311,2.7909369760441
"USA",2011,"Female",2.1946116037326,1.7545649102299,2.63465829723528
"USA",2012,"Female",2.0572099278709,1.63612777185988,2.47829208388193
"USA",2013,"Female",2.25589159407181,1.85045024062184,2.66133294752177
"USA",2014,"Female",1.9678846729389,1.66857685773588,2.26719248814191
"USA",2015,"Female",1.95077246239427,1.44730940299042,2.45423552179812
"USA",2016,"Female",2.16022212443212,1.30743370854885,3.01301054031538
"USA",2017,"Female",2.02990359015643,1.75013148728702,2.30967569302585
